               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062913,            0.021945,            0.067588,              0.2448,             0.29341,             0.26651,             0.14993,            0.027699,           0.0068361,             0.04061,           0.0033229,           0.0033229,            0.070094
                   1,            0.045907,            0.017266,            0.050735,             0.41059,               0.493,             0.49084,             0.29315,            0.025624,           0.0062732,            0.029622,           0.0066233,           0.0066233,            0.040061
                   2,             0.04494,            0.017333,            0.042745,             0.65944,             0.41882,             0.46708,             0.27169,            0.027791,           0.0067399,            0.030881,           0.0098907,           0.0098907,           0.0099951
                   3,            0.044069,            0.018017,            0.041742,             0.66943,             0.48227,             0.54148,             0.33102,            0.026117,           0.0063811,            0.022857,           0.0098515,           0.0098515,           0.0098515
                   4,             0.04107,            0.017847,            0.039886,             0.48576,             0.33487,             0.35173,             0.16423,            0.033326,           0.0078193,            0.034165,           0.0098515,           0.0098515,           0.0098515
                   5,             0.03932,            0.017304,            0.036035,             0.67288,             0.69174,             0.72827,             0.49106,            0.023127,           0.0058951,            0.016559,            0.009802,            0.009802,            0.009802
                   6,            0.037549,            0.017521,            0.038866,             0.65985,             0.65785,             0.70683,             0.46604,             0.02323,            0.005759,            0.017529,           0.0097525,           0.0097525,           0.0097525
                   7,            0.036837,            0.017093,            0.036527,             0.69024,             0.61852,             0.70492,             0.48062,            0.022885,           0.0058536,            0.018798,            0.009703,            0.009703,            0.009703
                   8,            0.036448,            0.017113,            0.034744,             0.72878,             0.71357,              0.7599,             0.52308,            0.022222,           0.0055071,            0.013323,           0.0096535,           0.0096535,           0.0096535
                   9,            0.036038,            0.016847,            0.031972,              0.7142,             0.69358,             0.76042,             0.51479,            0.022743,           0.0054489,            0.013297,            0.009604,            0.009604,            0.009604
                  10,            0.035521,            0.016507,            0.029549,             0.76348,             0.68654,             0.76817,             0.53797,            0.022123,           0.0056506,            0.012586,           0.0095545,           0.0095545,           0.0095545
                  11,            0.034398,            0.016231,             0.02962,             0.76441,             0.74445,             0.78676,             0.54963,            0.021477,           0.0054028,            0.013311,            0.009505,            0.009505,            0.009505
                  12,            0.034318,            0.016189,            0.027491,             0.77811,             0.76593,             0.81483,             0.58371,            0.020648,           0.0052084,            0.010985,           0.0094555,           0.0094555,           0.0094555
                  13,            0.033606,             0.01594,            0.027487,             0.78757,             0.73813,             0.80329,              0.5736,            0.020871,           0.0052857,             0.01267,            0.009406,            0.009406,            0.009406
                  14,            0.033363,              0.0159,            0.027546,             0.74585,             0.71268,              0.7763,             0.55941,            0.021199,           0.0055974,            0.012946,           0.0093565,           0.0093565,           0.0093565
                  15,             0.03375,             0.01611,            0.028694,             0.73215,             0.71921,             0.77715,             0.55555,            0.020864,           0.0054692,            0.012558,            0.009307,            0.009307,            0.009307
                  16,            0.032752,            0.015897,            0.027095,             0.79979,             0.76426,             0.83453,             0.60561,             0.02102,           0.0051535,           0.0093385,           0.0092575,           0.0092575,           0.0092575
                  17,            0.032724,            0.015714,            0.024468,             0.82983,             0.78315,              0.8477,             0.61575,            0.019691,           0.0051439,           0.0081461,            0.009208,            0.009208,            0.009208
                  18,            0.032272,            0.015363,            0.024167,             0.78958,              0.7767,             0.83234,             0.61073,            0.020463,           0.0051746,           0.0087332,           0.0091585,           0.0091585,           0.0091585
                  19,            0.032294,            0.015402,            0.023975,             0.80912,             0.76597,             0.83718,             0.61222,            0.019323,           0.0051877,            0.010002,            0.009109,            0.009109,            0.009109
                  20,             0.03231,            0.015296,            0.023368,             0.85851,             0.79329,             0.86086,              0.6323,            0.018938,           0.0050936,           0.0073745,           0.0090595,           0.0090595,           0.0090595
